nivel_territorial_codigo;nivel_territorial_nome;territorio_codigo;territorio_nome;ano_codigo;ano_nome;variavel_codigo;variavel_nome;unidade;produto_codigo;produto_nome;valor
N6;Município;2300200;Acaraú - CE;2009;2009;215;Valor da produção;Mil Reais;40122;Milho (em grão);208
N6;Município;2300200;Acaraú - CE;2010;2010;215;Valor da produção;Mil Reais;40122;Milho (em grão);79
N6;Município;2300200;Acaraú - CE;2011;2011;215;Valor da produção;Mil Reais;40122;Milho (em grão);919
N6;Município;2300200;Acaraú - CE;2012;2012;215;Valor da produção;Mil Reais;40122;Milho (em grão);261
N6;Município;2300200;Acaraú - CE;2013;2013;215;Valor da produção;Mil Reais;40122;Milho (em grão);82
N6;Município;2300200;Acaraú - CE;2014;2014;215;Valor da produção;Mil Reais;40122;Milho (em grão);114
N6;Município;2300200;Acaraú - CE;2015;2015;215;Valor da produção;Mil Reais;40122;Milho (em grão);462
N6;Município;2300200;Acaraú - CE;2016;2016;215;Valor da produção;Mil Reais;40122;Milho (em grão);113
N6;Município;2300200;Acaraú - CE;2017;2017;215;Valor da produção;Mil Reais;40122;Milho (em grão);1082
N6;Município;2300200;Acaraú - CE;2018;2018;215;Valor da produção;Mil Reais;40122;Milho (em grão);1354
N6;Município;2300200;Acaraú - CE;2019;2019;215;Valor da produção;Mil Reais;40122;Milho (em grão);189
N6;Município;2300200;Acaraú - CE;2020;2020;215;Valor da produção;Mil Reais;40122;Milho (em grão);906
N6;Município;2300200;Acaraú - CE;2021;2021;215;Valor da produção;Mil Reais;40122;Milho (em grão);1583
N6;Município;2300200;Acaraú - CE;2022;2022;215;Valor da produção;Mil Reais;40122;Milho (em grão);990
N6;Município;2300200;Acaraú - CE;2023;2023;215;Valor da produção;Mil Reais;40122;Milho (em grão);1993
N6;Município;2300200;Acaraú - CE;2024;2024;215;Valor da produção;Mil Reais;40122;Milho (em grão);495
N6;Município;2300309;Acopiara - CE;2003;2003;215;Valor da produção;Mil Reais;40122;Milho (em grão);2038
N6;Município;2300309;Acopiara - CE;2004;2004;215;Valor da produção;Mil Reais;40122;Milho (em grão);2057
N6;Município;2300309;Acopiara - CE;2005;2005;215;Valor da produção;Mil Reais;40122;Milho (em grão);214
N6;Município;2300309;Acopiara - CE;2006;2006;215;Valor da produção;Mil Reais;40122;Milho (em grão);2668
N6;Município;2300309;Acopiara - CE;2007;2007;215;Valor da produção;Mil Reais;40122;Milho (em grão);1344
N6;Município;2300309;Acopiara - CE;2008;2008;215;Valor da produção;Mil Reais;40122;Milho (em grão);5334
N6;Município;2300309;Acopiara - CE;2009;2009;215;Valor da produção;Mil Reais;40122;Milho (em grão);1202
N6;Município;2300309;Acopiara - CE;2010;2010;215;Valor da produção;Mil Reais;40122;Milho (em grão);1033
N6;Município;2300309;Acopiara - CE;2011;2011;215;Valor da produção;Mil Reais;40122;Milho (em grão);5561
N6;Município;2300309;Acopiara - CE;2012;2012;215;Valor da produção;Mil Reais;40122;Milho (em grão);800
N6;Município;2300309;Acopiara - CE;2013;2013;215;Valor da produção;Mil Reais;40122;Milho (em grão);2462
N6;Município;2300309;Acopiara - CE;2014;2014;215;Valor da produção;Mil Reais;40122;Milho (em grão);3221
N6;Município;2300309;Acopiara - CE;2015;2015;215;Valor da produção;Mil Reais;40122;Milho (em grão);1350
N6;Município;2300309;Acopiara - CE;2016;2016;215;Valor da produção;Mil Reais;40122;Milho (em grão);1200
N6;Município;2300309;Acopiara - CE;2017;2017;215;Valor da produção;Mil Reais;40122;Milho (em grão);1832
N6;Município;2300309;Acopiara - CE;2018;2018;215;Valor da produção;Mil Reais;40122;Milho (em grão);3694
N6;Município;2300309;Acopiara - CE;2019;2019;215;Valor da produção;Mil Reais;40122;Milho (em grão);3164
N6;Município;2300309;Acopiara - CE;2020;2020;215;Valor da produção;Mil Reais;40122;Milho (em grão);8686
N6;Município;2300309;Acopiara - CE;2021;2021;215;Valor da produção;Mil Reais;40122;Milho (em grão);26492
N6;Município;2300309;Acopiara - CE;2022;2022;215;Valor da produção;Mil Reais;40122;Milho (em grão);21026
N6;Município;2300309;Acopiara - CE;2023;2023;215;Valor da produção;Mil Reais;40122;Milho (em grão);10310
N6;Município;2300309;Acopiara - CE;2024;2024;215;Valor da produção;Mil Reais;40122;Milho (em grão);5742
N6;Município;2300408;Aiuaba - CE;2003;2003;215;Valor da produção;Mil Reais;40122;Milho (em grão);1330
N6;Município;2300408;Aiuaba - CE;2004;2004;215;Valor da produção;Mil Reais;40122;Milho (em grão);603
N6;Município;2300408;Aiuaba - CE;2005;2005;215;Valor da produção;Mil Reais;40122;Milho (em grão);1591
N6;Município;2300408;Aiuaba - CE;2006;2006;215;Valor da produção;Mil Reais;40122;Milho (em grão);2654
N6;Município;2300408;Aiuaba - CE;2007;2007;215;Valor da produção;Mil Reais;40122;Milho (em grão);1459
N6;Município;2300408;Aiuaba - CE;2008;2008;215;Valor da produção;Mil Reais;40122;Milho (em grão);3692
N6;Município;2300408;Aiuaba - CE;2009;2009;215;Valor da produção;Mil Reais;40122;Milho (em grão);1822
N6;Município;2300408;Aiuaba - CE;2010;2010;215;Valor da produção;Mil Reais;40122;Milho (em grão);752
N6;Município;2300408;Aiuaba - CE;2011;2011;215;Valor da produção;Mil Reais;40122;Milho (em grão);4433
N6;Município;2300408;Aiuaba - CE;2012;2012;215;Valor da produção;Mil Reais;40122;Milho (em grão);479
N6;Município;2300408;Aiuaba - CE;2013;2013;215;Valor da produção;Mil Reais;40122;Milho (em grão);578
N6;Município;2300408;Aiuaba - CE;2014;2014;215;Valor da produção;Mil Reais;40122;Milho (em grão);1207
N6;Município;2300408;Aiuaba - CE;2015;2015;215;Valor da produção;Mil Reais;40122;Milho (em grão);1469
N6;Município;2300408;Aiuaba - CE;2016;2016;215;Valor da produção;Mil Reais;40122;Milho (em grão);637
N6;Município;2300408;Aiuaba - CE;2017;2017;215;Valor da produção;Mil Reais;40122;Milho (em grão);1183
N6;Município;2300408;Aiuaba - CE;2018;2018;215;Valor da produção;Mil Reais;40122;Milho (em grão);1836
N6;Município;2300408;Aiuaba - CE;2019;2019;215;Valor da produção;Mil Reais;40122;Milho (em grão);1839
N6;Município;2300408;Aiuaba - CE;2020;2020;215;Valor da produção;Mil Reais;40122;Milho (em grão);7258
N6;Município;2300408;Aiuaba - CE;2021;2021;215;Valor da produção;Mil Reais;40122;Milho (em grão);4984
N6;Município;2300408;Aiuaba - CE;2022;2022;215;Valor da produção;Mil Reais;40122;Milho (em grão);4435
N6;Município;2300408;Aiuaba - CE;2023;2023;215;Valor da produção;Mil Reais;40122;Milho (em grão);3823
N6;Município;2300408;Aiuaba - CE;2024;2024;215;Valor da produção;Mil Reais;40122;Milho (em grão);5277
N6;Município;2300507;Alcântaras - CE;2003;2003;215;Valor da produção;Mil Reais;40122;Milho (em grão);613
N6;Município;2300507;Alcântaras - CE;2004;2004;215;Valor da produção;Mil Reais;40122;Milho (em grão);284
N6;Município;2300507;Alcântaras - CE;2005;2005;215;Valor da produção;Mil Reais;40122;Milho (em grão);247
N6;Município;2300507;Alcântaras - CE;2006;2006;215;Valor da produção;Mil Reais;40122;Milho (em grão);303
N6;Município;2300507;Alcântaras - CE;2007;2007;215;Valor da produção;Mil Reais;40122;Milho (em grão);238
N6;Município;2300507;Alcântaras - CE;2008;2008;215;Valor da produção;Mil Reais;40122;Milho (em grão);459
N6;Município;2300507;Alcântaras - CE;2009;2009;215;Valor da produção;Mil Reais;40122;Milho (em grão);211
N6;Município;2300507;Alcântaras - CE;2010;2010;215;Valor da produção;Mil Reais;40122;Milho (em grão);72
N6;Município;2300507;Alcântaras - CE;2011;2011;215;Valor da produção;Mil Reais;40122;Milho (em grão);412
N6;Município;2300507;Alcântaras - CE;2012;2012;215;Valor da produção;Mil Reais;40122;Milho (em grão);107
N6;Município;2300507;Alcântaras - CE;2013;2013;215;Valor da produção;Mil Reais;40122;Milho (em grão);54
